Comp,RIOTs,Evidence,Assessment,Criteria
"8.5.1.1 Understand 
the physical 
principles and 
operation of 
radiographic and 
fluoroscopic 
diagnostic imaging","o  MSc coursework. 
o  Read and summarise references on the physical 
principles and operation of radiographic and 
fluoroscopic imaging systems, e.g. IAEA DR 
Handbook, Bushberg Essential physics for 
medical imaging.  Should cover digital 
radiography, fluoroscopy, angiography 
o  Attend a teaching session with a DIMP 
o  Observe maintenance and QA of radiographic 
and fluoroscopic imaging systems. 
o  Observe clinical use of radiographic and 
fluoroscopic imaging systems in diagnostic 
departments, for example, mammography and 
barium swallow, and contrast with their use in 
radiation therapy departments (for example 
using knowledge gained from competencies 4.4, 
5.2 and 6.4.  Note how imaging parameters are 
optimized for the clinical application 
o  Review specialist and emerging radiographic 
and fluoroscopic imaging techniques such as 
breast tomosynthesis","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes. 
o  Answers to online 
resources on 
eLearning website","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Explains the basic physics of x-ray production and image 
formation for radiographic and fluoroscopic diagnostic 
imaging, including digital radiography, fluoroscopy.   
o  Describes typical configuration of diagnostic x-ray units and 
image forming systems (block diagram) 
o  Explains key parameters and terms used in radiographic and 
fluoroscopic imaging such as kV, mAs, filtration, grids, 
magnification and gives typical values where appropriate 
o  Explain how x-ray settings affect the image quality 
parameters listed in 8.1.1.2 
o  Describes typical artifacts observed in radiographic and 
fluoroscopic images and their causes 
o  Describes the use of contrast agents. 
o  Describes radiographic and fluoroscopic imaging strengths 
and weaknesses"
"6.6.2.3 Perform LDR 
brachytherapy 
treatment planning 
according to 
established protocols","o 
In a clinical centre or workshop, participate in 
treatment planning for:  
o  LDR prostate 
o  eye plaque","o  Completed 
treatment plans","o  Review completed 
plans and Q&A 
with Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Describes steps in pre-treatment planning process including  
o  Selection of correct source type/model 
o  Selection of correct dosimetry parameters 
o 
Input of correct source strength 
o  Understands uncertainties associated with source data 
o  Discusses advantages and disadvantages of pre-planning 
and real-time planning approaches for LDR prostate 
brachytherapy 
o  Explains strategies for seed placement to produce plans that 
meet protocol dose constraints for target coverage and OAR  
in: 
o  LDR prostate,  
o  eye plaque 
o 
Identifies appropriate plan verification procedures 
o 
Identifies limitations and tolerances 
o  Completes treatment documentation"
"6.6.2.4 Participate in 
post implant 
dosimetry for LDR 
prostate 
brachytherapy","o 
In a clinical centre or workshop, participate in 
post implant dosimetry for LDR prostate 
brachytherapy","o  Analysis of 
completed post 
implant studies 
o  Logbook.","o  Review completed 
work and Q&A 
with Assessor.","o  Critically evaluates and assesses a post-implant dosimetry 
study 
o  Explains the steps involved in the process, including choice 
of imaging modality 
o  Discusses timing of the imaging with respect to time of 
implant 
o  Discusses the pros and cons of the post-implant 
reconstruction methods i.e. accuracy of source 
identification, accuracy of target delineation and advantages 
and disadvantages of combining modalities"
"3.2.2.1 Accept, 
commission and 
perform QA for 
water tank 
dosimetry systems","o  Read and summarise references. 
o  Read previous departmental commissioning 
reports. 
o  Perform acceptance, commissioning and QA 
tests on water tank phantoms","o 
Summary notes. 
o  QA records, 
acceptance and 
commissioning 
reports","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, including software tests, e.g. AAPM TG-106. If 
department uses alternative method, registrar should have 
an understanding of protocol recommendations, and explain 
any deviations. 
o  Draws conclusions from results 
o 
Identifies limitations and tolerances, including mechanical 
tolerances, hysteresis, orthogonality of scan axes, position to 
signal correlation 
o  Explains relationship between acceptance and 
commissioning tests and ongoing QA. 
o  Verifies that QA documents are current 
o 
Justifies choice of data acquisition modes and scan 
parameters such as scan speed, scan mode (point to point, 
continuous),  
o  Explains function and operation of analysis tools, such as 
renormalisation, centring, symmetrising, smoothing, 
conversion of ionization to dose,  central axis correction, 
comparison to reference data, calculation of flatness, 
symmetry and beam quality parameters 
o  Knowledge of data management capabilities such as scan 
labelling, storage"
"3.2.2.2 Accept, 
commission, and 
perform QA for other 
phantoms and 
ancillary 
components","o  Read and summarise references. 
o  Read previous departmental commissioning 
reports. 
o  Perform acceptance, commissioning and QA 
tests (including tests on associated software 
and worksheets) for: 
o  A common dosimetric accessory such as an 
intercomparison jig or calibration block 
o  A specialised phantom  such as an 
anthropomorphic or respiratory gating 
phantom","o 
Summary notes. 
o  QA records 
o  Acceptance and 
commissioning 
reports 
o  Oral presentation 
to department","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o 
Meets general criteria for practical work 
o 
Performs tests and measurements listed in a suitable 
protocol or reference, where applicable  
o 
Draws conclusions from results 
o 
Identifies limitations and tolerances 
o 
Explains relationship between acceptance and 
commissioning tests and ongoing QA. 
o 
Knowledge of software tools where applicable."
"2.2.1.1 Outline the 
key concepts for 
shielding 
construction and 
identify reference 
documents","o  MSc 
o  Read and summarize shielding construction 
references","o  MSc assessment 
o 
Summary notes","o  RPL 
o  Oral presentation, 
followed by Q&A 
with assessor","o  From relevant reports (i.e. NCRP 151, IAEA TECDOC 40, 
IAEA Safety report 47, IPEM Report 75), define: 
o 
IDR 
o  TADR 
o  Use 
o  Occupancy 
o  Workload 
o  Dose limits and design constraints 
o  TVL"
"2.2.1.2 Identify the 
principles and 
features of shielding 
construction and 
protection measures 
for different 
equipment.","o  MSc 
o  Review shielding construction plans for a range 
of rooms, including rooms that house: 
o  a HDR afterloader 
o 
 linac (low and high energy) 
o 
 kV unit 
o  CT scanner.","o  MSc assessment 
o  Logbook notes","o  RPL 
o  Q&A with 
assessor. 
o  Past examination 
questions","o  Principles include: 
o  Primary and secondary barriers 
o  Doors/gates 
o 
Interlocks 
o  Alarms/lights/signs 
o  Limits 
o  Time, distance, shielding 
o  Material selection 
o  Typical wall thickness/construction  
o  Maze calculations and baffle design  
o  Skyshine/Groundshine 
o  Neutrons 
o  Activation"
"2.2.2.1 Differentiate 
shielding 
requirements for 
different equipment","o  Compare and contrast shielding requirements 
for:  linac, HDR unit, kV unit, CT scanner.",o  Comparison table,"o  Table reviewed by 
assessor plus Q&A","o  For linac, CT, HDR & kV unit, registrar identifies: 
o 
Isotropic vs. directed source and its implications for 
barrier thickness (primary, secondary) 
o  Energy and its impact on penetration, scatter, single vs. 
dual energy 
o  Use factors 
o  Workload  
o  Technical specifications – upper limit of leakage 
o  Neutrons or not? 
o 
Implications of special techniques such as IMRT, VMAT, TBI 
on workload and use factors. 
o  Explains two source rule (NCRP 151)"
"2.2.2.2 Calculate 
barrier thickness and 
dose levels","o  Detailed calculations for high energy linac 
(>10MV) and CT and at least one other type of 
equipment (e.g.  kV, HDR brachy, tomotherapy).","o 
Shielding 
calculations","o  Calculations 
reviewed by 
assessor plus Q&A","o 
Identifies common elements of shielding calculations for all 
equipment. 
o  Correct calculation 
o  Makes appropriate assumptions 
o 
Identifies areas of concern"
"8.4.1.3 Understand 
how PET images are 
used in the 
management of 
cancer","o  MSc coursework. 
o  Read and summarise references, e.g. studies of 
the impact of PET and other imaging modalities 
on cancer management, such as AAPM Report 
255 An introduction to molecular imaging in 
radiation oncology, RCR2004 Imaging for 
Oncology. 
o  Observe PET imaging for diagnosis, staging, 
treatment planning, image guided therapy and 
monitoring 
o  Attend multi-disciplinary case review meetings 
o  Patient case study 
o  Discuss with NM physician delineation of 
tumours based on imaging and contrast and 
compare with practice of RO on the same 
images. 
o  Observe diagnostic imaging procedures for 
different body sites and with different imaging 
modalities to gain an understanding of which 
aspects of image quality are clinically important.  
Discuss with a radiologist, a DIMP and/or 
diagnostic radiographer.  Observe a radiologist’s 
reporting session if possible.","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes how PET is used in the management of cancer, for 
example, in diagnosis, staging, treatment planning and 
monitoring.  
o  Discusses the pros and cons of PET in the management of 
cancer 
o  Illustrates this by describing at least two clinical scenarios 
where PET is used"
"8.2.1.2 Understand 
the safety and quality 
management 
procedures for 
diagnostic CT 
imaging","o  MSc coursework. 
o  Read and summarize regulatory requirements 
for CT safety (such as ARPANSA CoP and 
jurisdictional regulatory requirements) 
o  Apply the radiation safety principles of 
optimization and justification to the medical use 
of CT imaging for a small sample of clinical cases 
and discuss the optimisation processes used. 
o  Read and summarise references on CT quality 
management such as IAEA Human Health Series 
19 
o  Identify and explain common image artifacts on 
images acquired in an imaging department 
o  Read departmental safety and quality assurance 
protocols 
o  Observe QA of CT imaging systems in the 
diagnostic department and contrast with 
procedures in the therapy department (for 
example using knowledge gained from 
competencies 4.4, 4.5, 5.2, 6.4 and 6.6) 
o  Attend a teaching session on CT safety and 
quality management with a DIMP 
o  Review literature on patient dose from CT 
scanners such as Nagel, IAEA Human Health 
Report 5, AAPM TG204, ICRP 87.","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor 
o  May be assessed in 
conjunction with 
competency 4.5","o  Describes the  safety requirements for diagnostic CT imaging 
systems including regulatory requirements 
o  Describes the quality management procedures for diagnostic 
CT scanners, as listed in a suitable published protocol, e.g. 
IAEA Human Health Series 19 
o  Discusses differences and similarities between safety and 
quality management procedures required for CT scanners in 
the diagnostic imaging and therapy departments 
o  Discusses the impact of CT scan settings such as kVp, mAs 
pitch, reconstruction algorithm and scan length on patient 
dose 
o  Explains how the radiation safety principles of optimization 
and justification apply to the medical use of CT imaging 
o  Explains the concept of a diagnostic reference level. Describe 
the parameters used in CT imaging to measure them, e.g. 
Dose Length Product (DLP), Computed Tomography Dose 
Index (CTDI), etc.  Gives typical values for, e.g., head, chest, 
body. 
o  Identifies and explains common image artifacts, such as, 
beam hardening, volume averaging, high density objects 
o  Describes the role of a DIMP in safety and quality 
management of diagnostic CT imaging systems"
